"","a-first","b-first","a-resumed","b-resumed"
"1",1.909,4.078,1.909,4.078
"2",2.005,4.778,2.005,4.778
"3",2.075,3.4,2.075,3.4
"4",1.853,4.347,1.853,4.347
"5",1.881,4.312,1.881,4.312
"6",1.863,4.937,1.863,4.937
"7",1.89,2.181,1.89,2.181
"8",2.622,0.784,2.622,0.784
"9",2.156,2.986,2.156,2.986
"10",1.935,3.494,1.935,3.494
"11",0,0,0.329,-1.255
"12",0,0,1.754,4.588
"13",0,0,1.739,4.798
"14",0,0,1.938,2.622
"15",0,0,2.161,3.084
"16",0,0,1.986,4.181
"17",0,0,2.09,2.946
"18",0,0,1.935,4.168
"19",0,0,1.517,5.871
"20",0,0,1.907,4.381
